Ticker,Name,Weight,Sector,Country
"TSLA","TESLA INC","5.68","Consumer Discretionary","United States"
"1211","BYD LTD H","4.60","Consumer Discretionary","China"
"000270","KIA MOTORS CORP","3.45","Consumer Discretionary","Korea (South)"
"006400","SAMSUNG SDI LTD","2.83","Information Technology","Korea (South)"
"GM","GENERAL MOTORS","2.67","Consumer Discretionary","United States"
"005380","HYUNDAI MOTOR","2.56","Consumer Discretionary","Korea (South)"
"APTV","APTIV PLC","2.56","Consumer Discretionary","United States"
"IFX","INFINEON TECHNOLOGIES AG","2.50","Information Technology","Germany"
"F","FORD MOTOR CO","2.40","Consumer Discretionary","United States"
"STLA","STELLANTIS NV","2.31","Consumer Discretionary","Italy"
"012330","HYUNDAI MOBIS LTD","2.30","Consumer Discretionary","Korea (South)"
"QRVO","QORVO INC","2.22","Information Technology","United States"
"HEXA B","HEXAGON B","2.20","Information Technology","Sweden"
"MRVL","MARVELL TECHNOLOGY GROUP LTD","2.16","Information Technology","United States"
"MXIM","MAXIM INTEGRATED PRODUCTS INC","2.15","Information Technology","United States"
"VOLV B","VOLVO CLASS B","2.09","Industrials","Sweden"
"NVDA","NVIDIA CORP","2.06","Information Technology","United States"
"6902","DENSO CORP","2.05","Consumer Discretionary","Japan"
"XLNX","XILINX INC","2.02","Information Technology","United States"
"ABBN","ABB LTD","1.95","Industrials","Switzerland"
"M&M","MAHINDRA AND MAHINDRA LTD","1.94","Consumer Discretionary","India"
"RNO","RENAULT SA","1.93","Consumer Discretionary","France"
"ETN","EATON PLC","1.93","Industrials","United States"
"MARUTI","MARUTI SUZUKI INDIA LTD","1.92","Consumer Discretionary","India"
"FR","VALEO SA","1.82","Consumer Discretionary","France"
"LEA","LEAR CORP","1.82","Consumer Discretionary","United States"
"7276","KOITO MANUFACTURING LTD","1.79","Consumer Discretionary","Japan"
"BWA","BORGWARNER INC","1.79","Consumer Discretionary","United States"
"7201","NISSAN MOTOR LTD","1.78","Consumer Discretionary","Japan"
"ADI","ANALOG DEVICES INC","1.77","Information Technology","United States"
"GRMN","GARMIN LTD","1.75","Consumer Discretionary","United States"
"GNTX","GENTEX CORP","1.75","Consumer Discretionary","United States"
"ALV","AUTOLIV INC","1.69","Consumer Discretionary","United States"
"BMW","BMW AG","1.65","Consumer Discretionary","Germany"
"7203","TOYOTA MOTOR CORP","1.51","Consumer Discretionary","Japan"
"TATAMOTORS","TATA MOTORS LTD","1.41","Consumer Discretionary","India"
"7267","HONDA MOTOR LTD","1.36","Consumer Discretionary","Japan"
"INTC","INTEL CORPORATION CORP","1.29","Information Technology","United States"
"7259","AISIN SEIKI LTD","1.23","Consumer Discretionary","Japan"
"EO","FAURECIA","0.85","Consumer Discretionary","France"
"VC","VISTEON CORP","0.77","Consumer Discretionary","United States"
"AMBA","AMBARELLA INC","0.69","Information Technology","United States"
"ADNT","ADIENT PLC","0.66","Consumer Discretionary","United States"
"ASHOKLEY","ASHOK LEYLAND LTD","0.64","Industrials","India"