Number,Holding,Ticker,Shares,Market Value,% of net assets
1,Infineon Technologies Ag,IFX GR,18581,€656838.00,1.76%
2,Daimler Ag,DAI GR,9687,€638664.00,1.71%
3,Bhp Group Plc,BHP LN,23077,€626979.00,1.68%
4,Asml Holding Nv,ASML NA,1266,€601287.00,1.61%
5,Glencore Plc,GLEN LN,167660,€591201.00,1.58%
6,Rio Tinto Plc,RIO LN,7757,€581132.00,1.55%
7,Deutsche Bank Ag,DBK GR,50519,€534693.00,1.43%
8,Volvo Ab,VOLVB SS,24526,€530642.00,1.42%
9,Dsv Panalpina A/S,DSV DC,3490,€527768.00,1.41%
10,Deutsche Post Ag,DPW GR,12384,€511707.00,1.37%
11,Prosus Nv,PRX NA,5030,€499580.00,1.34%
12,Atlas Copco Ab,ATCOA SS,10162,€495022.00,1.32%
13,Equinor Asa,EQNR NO,29250,€486352.00,1.30%
14,Telefonaktiebolaget Lm Ericsson,ERICB SS,45995,€484784.00,1.30%
15,Siemens Ag,SIE GR,3715,€483619.00,1.29%
16,Lvmh Moet Hennessy Louis Vuitton Se,MC FP,888,€471528.00,1.26%
17,Schneider Electric Se,SU FP,3673,€458758.00,1.23%
18,Ubs Group Ag,UBSG SW,34734,€455489.00,1.22%
19,Lonza Group Ag,LONN SW,857,€453106.00,1.21%
20,Cie De Saint-Gobain,SGO FP,10508,€452790.00,1.21%
21,Basf Se,BAS GR,6430,€438269.00,1.17%
22,Credit Suisse Group Ag,CSGN SW,35859,€433545.00,1.16%
23,Bnp Paribas Sa,BNP FP,8581,€431710.00,1.15%
24,Ing Groep Nv,INGA NA,46314,€427386.00,1.14%
25,Abb Ltd,ABBN SW,17489,€423685.00,1.13%
26,Bayerische Motoren Werke Ag,BMW GR,5904,€422136.00,1.13%
27,Cie Financiere Richemont Sa,CFR SW,5244,€420206.00,1.12%
28,Barclays Plc,BARC LN,222991,€419038.00,1.12%
29,London Stock Exchange Group Plc,LSEG LN,3703,€415699.00,1.11%
30,Vivendi Se,VIV FP,14110,€408767.00,1.09%
31,Banco Bilbao Vizcaya Argentaria Sa,BBVA SM,86094,€404986.00,1.08%
32,Koninklijke Philips Nv,PHIA NA,8848,€403513.00,1.08%
33,Crh Plc,CRH LN,10847,€400042.00,1.07%
34,Prudential Plc,PRU LN,23740,€398111.00,1.06%
35,Adidas Ag,ADS GR,1345,€394220.00,1.05%
36,L'Oreal Sa,OR FP,1268,€389149.00,1.04%
37,Volkswagen Ag,VOW3 GR,2259,€386470.00,1.03%
38,Nordea Bank Abp,NDA SS,49592,€382112.00,1.02%
39,Intesa Sanpaolo Spa,ISP IM,173895,€374222.00,1.00%
40,Essilorluxottica Sa,EL FP,2772,€373943.00,1.00%
41,Total Se,FP FP,9430,€372061.00,1.00%
42,Lafargeholcim Ltd,LHN SW,7747,€360902.00,0.97%
43,Nokia Oyj,NOKIA FH,104136,€358020.00,0.96%
44,Axa Sa,CS FP,16762,€354516.00,0.95%
45,Eni Spa,ENI IM,36393,€352284.00,0.94%
46,Alcon Inc,ALC SW,6057,€349972.00,0.94%
47,Kering Sa,KER FP,660,€348018.00,0.93%
48,Enel Spa,ENEL IM,44325,€347508.00,0.93%
49,Assicurazioni Generali Spa,G IM,21930,€347262.00,0.93%
50,Banco Santander Sa,SAN SM,116920,€346726.00,0.93%
51,Allianz Se,ALV GR,1715,€346430.00,0.93%
52,Vinci Sa,DG FP,3922,€344822.00,0.92%
53,Anheuser-Busch Inbev Sa/Nv,ABI BB,6909,€344759.00,0.92%
54,Muenchener Rueckversicherungs-Gesellsch,MUV2 GR,1403,€343735.00,0.92%
55,Societe Generale Sa,GLE FP,16376,€342586.00,0.92%
56,Pernod Ricard Sa,RI FP,2123,€341060.00,0.91%
57,Deutsche Telekom Ag,DTE GR,22715,€340044.00,0.91%
58,Novo Nordisk A/S,NOVOB DC,5682,€338465.00,0.91%
59,Givaudan Sa,GIVN SW,107,€337708.00,0.90%
60,Industria De Diseno Textil Sa,ITX SM,12218,€337217.00,0.90%
61,Amadeus It Group Sa,AMS SM,5721,€337081.00,0.90%
62,Vonovia Se,VNA GR,6339,€336601.00,0.90%
63,Air Liquide Sa,AI FP,2651,€336147.00,0.90%
64,Diageo Plc,DGE LN,10025,€336115.00,0.90%
65,Koninklijke Ahold Delhaize Nv,AD NA,14740,€328407.00,0.88%
66,Airbus Se,AIR FP,3316,€328052.00,0.88%
67,Iberdrola Sa,IBE SM,31829,€327520.00,0.88%
68,Safran Sa,SAF FP,2813,€327293.00,0.88%
69,Zurich Insurance Group Ag,ZURN SW,943,€323758.00,0.87%
70,Reckitt Benckiser Group Plc,RB/ LN,4651,€319940.00,0.86%
71,Svenska Handelsbanken Ab,SHBA SS,35394,€318823.00,0.85%
72,Unicredit Spa,UCG IM,35741,€312162.00,0.83%
73,Compass Group Plc,CPG LN,18112,€309490.00,0.83%
74,Vodafone Group Plc,VOD LN,213875,€308342.00,0.82%
75,Heineken Nv,HEIA NA,3654,€307740.00,0.82%
76,Relx Plc,REN NA,15362,€305934.00,0.82%
77,Astrazeneca Plc,AZN LN,3752,€304079.00,0.81%
78,Swiss Re Ag,SREN SW,3853,€303929.00,0.81%
79,Danone Sa,BN FP,5186,€303381.00,0.81%
80,Sap Se,SAP GR,2952,€303229.00,0.81%
81,Deutsche Boerse Ag,DB1 GR,2198,€296840.00,0.79%
82,Novartis Ag,NOVN SW,4070,€291337.00,0.78%
83,Experian Plc,EXPN LN,10811,€289349.00,0.77%
84,Engie Sa,ENGI FP,22840,€287898.00,0.77%
85,Sanofi,SAN FP,3792,€286865.00,0.77%
86,Fresenius Se & Co Kgaa,FRE GR,8117,€285881.00,0.76%
87,Roche Holding Ag,ROG SW,1058,€284623.00,0.76%
88,Nestle Sa,NESN SW,3250,€283148.00,0.76%
89,Bp Plc,BP/ LN,79216,€278918.00,0.75%
90,Lloyds Banking Group Plc,LLOY LN,612538,€277674.00,0.74%
91,Hsbc Holdings Plc,HSBA LN,54450,€273932.00,0.73%
92,Bayer Ag,BAYN GR,5265,€271621.00,0.73%
93,Orange Sa,ORA FP,27400,€268356.00,0.72%
94,National Grid Plc,NG/ LN,27919,€266293.00,0.71%
95,British American Tobacco Plc,BATS LN,9018,€265862.00,0.71%
96,E.On Se,EOAN GR,31041,€263600.00,0.71%
97,Telefonica Sa,TEF SM,67366,€247166.00,0.66%
98,Glaxosmithkline Plc,GSK LN,17202,€241834.00,0.65%
99,Unibail-Rodamco-Westfield,URW NA,3278,€200417.00,0.54%
100,Siemens Energy Ag,ENR GR,1858,€56632.00,0.15%
101,Other/Cash,,0,€150269.00,0.40%